subjectcode,subjectname,coursename,coursenumber,coursedescription,corequisitenarrative,prerequisitenarrative,credits,instructor,offered,distribution,crosslistedcoursenarrative,concurrentrequisites,recommendedrequisites,hours
ENGR,Engineering,DREAM Designing Resources for Empowerment,ENGR2160,"DREAM is a studio for students to examine inequalities in places where hands-on making is encouraged and to understand what it means to develop empowering experiences. The class features hands-on projects that allow students to expand their skills as makers with media of their choosing, from computing to craft material and from CAD to CAM. Students will attend at least one of approximately four interactions with off-campus entities such as community technology centers, maker faires, and innovation spaces in schools or libraries. A group project will provide opportunities for students to grapple with the realities of facilitating hands-on making in scenarios where participants have a history of being marginalized. Weekly class meetings mix making time with studying cases of both effective and ineffective empowering interventions in a variety of settings. Students will draw from lessons learned from each case as they design their experiences pragmatically.",,,4 ENGR,,,,,,,
ENGR,Engineering,Special Topics in Engineering,ENGR2199,Special Topics in Engineering classes (ENGR X199) typically cover a specific topic in Engineering and are intended to enhance and expand the selection of offerings from semester to semester.,,,Variable Credits ENGR,,,,,,,
ENGR,Engineering,User-Oriented Collaborative Design,ENGR2250,"Students develop detailed concepts and models of authentic new products and services. Our focus is on user-oriented, collaborative approaches to design and seeking holistic solutions integrating user and functional perspectives. We emphasize the importance of process and the development of strategies. Students observe and engage people to develop a deep understanding of their values and the patterns of their lives. They work collaboratively in a studio environment to create a shared understanding of the people they design for (and with) and the product ideas they develop. Topics covered include design thinking, ethnographic methods, concept development and interaction design.",,,4 ENGR,,,,,,,4-4-4
ENGR,Engineering,Special Topics in Design Engineering,ENGR2299,Special Topics in Design Engineering classes (ENGR X299) typically cover a specific topic in Design Engineering and are intended to enhance and expand the selection of offerings from semester to semester.,,,Variable Credits ENGR,,,,,,,
ENGR,Engineering,Mechanics of Solids & Structures,ENGR2320,"This course covers the principles of statics of structures and mechanics of materials. The focus is on the concepts of stress and strain as related to applied loads (axial, shear, torsion, bending) and to resulting deformation. Students will learn how the principles of mechanics can be applied to mechanical design through modeling, quantitative analysis, strain gauge measurements, and computational simulation. The use of a commercial finite element package is introduced.",,,4 ENGR,,,,,,,4-0-8
ENGR,Engineering,Introduction to Mechanical Prototyping,ENGR2330,"Through project experiences, students will learn the techniques needed to both master the technical communication of mechanical designs and the fabrication skills needed to rapidly build them. Students will practice professional drafting techniques to describe a full range of fabricated components, including milled, lathed, sheet metal, water jet, injection molded, 3D printed and welded components. This course will include a significant machine shop component, where each student will gain exposure to advanced fabrication techniques. The final project will be the design and fabrication of a fully operational, complex mechanical system.",,ENGR1200,4 ENGR,,,,,,,
ENGR,Engineering,Dynamics,ENGR2340,"With an emphasis on understanding fundamental concepts, students will learn to create and analyze mathematical models for mechanical and electromechanical systems that are changing in time. Equations of motion for 3D rigid bodies and systems will be derived using conservation of momentum and energy methods. Concepts involving equilibrium, linearization, and stability will be applied to study dynamic response in both the time and frequency domains through time-integration, transfer function, and state-space analysis. The idea of feedback control is introduced. Coursework and projects will involve examples such as robots, mechanisms, vehicles, and aircraft/spacecraft.<br /><br />",,MTH1111 AND MTH2210,4 ENGR,,,,,,SCI1130,4-0-8
ENGR,Engineering,Thermodynamics,ENGR2350,"This course covers the fundamental principles of thermodynamics and physical chemistry as applied to engineering systems. This course provides a foundation in fundamental thermodynamic phenomena, including the first and second laws of thermodynamics, thermodynamic properties, equations of state in real and ideal gases, and chemical equilibrium. The basic laws are used to understand and analyze the performance and efficiency of systems, such as automobile engines, gas turbines, steam power plants, and refrigerators.",,,4 ENGR,,,,,,,4-0-8
ENGR,Engineering,Signals and Systems,ENGR2410,"Linear system theory is a powerful set of mathematical tools used broadly across science and engineering. Signals represent the transfer of information or power, while systems represent operations on these signals. This course presents fundamental concepts from linear systems such as convolution, impulse and step response, Fourier transforms, sampling and modulation. These concepts are presented within the framework of linear operators and/or transforms in discrete and/or continuous time. Applications include filters, system identification, deconvolution, feedback and control, and communications.<br /><br /><br /><br />",,,4 ENGR,,,,,,,4-0-8
ENGR,Engineering,Intro Microelectronic Circuits with laboratory,ENGR2420,"This course will cover elements of linear circuits, such as the operation of basic circuit elements, fundamental circuit laws, and analytic techniques in both the time domain and the frequency domain.  It will also cover the transistor-level design of complementary metal-oxide-semiconductor (CMOS) electronic circuits in the context of modern integrated-circuit technology. The course will include an introduction to the fabrication and operation of metal-oxide-semiconductor (MOS) transistors and to the design and operation of the basic building blocks of analog integrated circuits including single-transistor amplifier stages, current mirrors, CAS codes, differential pairs, and single-stage operational amplifiers. Throughout the course, an emphasis will be placed on design-oriented circuit analysis techniques and developing circuit reasoning skills.<br /><br />",,ENGR1125,4 ENGR,,,,,,MTH2210,4-4-4
ENGR,Engineering,Software Design,ENGR2510,"This course is an introduction to software design. It focuses on a model of computation as a set of simultaneous ongoing entities embedded in and interacting with a dynamic environment, for example: computation as it occurs in spreadsheets, video games, web applications, and robots. A major component of the class is a weekly three-hour, in class laboratory. Much of this laboratory is spent in collaborative work on program development, with an emphasis on student-student  interaction and student-student teaching, facilitated and enriched by the course staff. In addition, design and implementation work is supplemented with observational laboratory assignments, inviting students to consider not only how to build a program, but how to anticipate its behavior and how to modify that behavior. Both students with no prior background and students with background comparable to the CS AP should both find this course interesting and worthwhile.",,,4 ENGR,,,,,,,5-0-7
ENGR,Engineering,Special Topics in Computing,ENGR2599,Special Topics in Computing classes (ENGR X599) typically cover a specific topic in Computing and are intended to enhance and expand the selection of offerings from semester to semester.,,,Variable Credits ENGR,,,,,,,
ENGR,Engineering,Topics in Bioengineering,ENGR2600,"Broadly, Bioengineering can be defined as the application of engineering concepts and methods to the solution and study of biological and medical problems. Using a case study approach, this course aims to provide students with a broad understanding of the types of problems Bioengineers explore as well as the engineering and biological methods they employ. We will approach topics through seminar-style discussion of current primary articles from the literature as well as selected hands-on laboratory explorations of topics. Topics to be covered include tissue engineering, use of microfluidics devices for diagnostics, imaging disease states, and prosthetic limbs. In order to explore a topic of particular interest in more depth, students will also write and orally present a research paper on a topic of their choice. <br /><br /><br /><br />This course is crosslisted with SCI2260. Taken under the ENGR2600 number, the course earns Engineering credit. To statisfy an advanced Biology requirement, enroll using SCI2260.",,,4 ENGR,,,,,,AP/IB Biology satisfies prerequisite if Olin Foundational Biology has not been taken.,3-1-8
ENGR,Engineering,Special Topics in Bioengineering,ENGR2699,Special Topics in Bioengineering classes (ENGR X699) typically cover a specific topic in Bioengineering and are intended to enhance and expand the selection of offerings from semester to semester.,,,Variable Credits ENGR,,,,,,,
ENGR,Engineering,Environmental Analysis & Science,ENGR2810,"How do we measure what?s happening in our environment, what do we do with that information, and why do we care? This hands-on, project-based course will introduce approaches that environmental engineers and scientists use to analyze complex environmental systems in order to effectively design solutions to mitigate pollution. We will spend the semester making deep-dives into air quality and water quality, which are at the heart of the two leading causes of premature death in the world: chronic exposure to air pollution and lack of access to clean water. The class focuses on building hands-on skills with real-world data analysis, field sampling techniques and lab analysis skills through integrated projects like analyzing pollutant concentrations along the Charles River, and the course will incorporate strong communication themes as we work toward presenting our results to several diverse audiences. Throughout the course, we will study pollution in its broader social, political, and economic context, considering the complex motivations for pollution mitigation and the broader implications of water and air treatment processes.<br /><br /><br /><br />This course is cross-listed with SCI2310.",,,4 ENGR,,,,,,,
ENGR,Engineering,Elecanisms,ENGR3110,"Note: This course can be used to satisfy either the ME and ECE advanced elective requirements.<br /><br /><br /><br />Mechatronics involves the synergistic integration of mechanical engineering with electronics and intelligent computer control in the design of products. In this course, we will develop topics critical to the engineering of modern mechatronic systems including electromechanical actuators (e.g., DC motors, stepper motors, and solenoids), practical electronics design including interfacing sensors and actuators to embedded processors, and embedded software design in the C programming language. During the first part of the course, students will work in small groups on a series of miniprojects to gain experience with course concepts and develop core engineering competencies. During the second part of the course, students will work in teams to engineer a mechatronic system of their choosing subject to realistic constraints.<br /><br />",,ENGR2110 AND ENGR2330; OR ENGR2110 AND ENGR3330; OR ENGR2110 AND ENGR2420; OR ENGR2110 AND ENGR3410;,4 ENGR,,,,,,,
ENGR,Engineering,Special Topics in Engineering,ENGR3199,Special Topics in Engineering classes (ENGR X199) typically cover a specific topic in Engineering and are intended to enhance and expand the selection of offerings from semester to semester.,,,Variable Credits ENGR,,,,,,,
ENGR,Engineering,Sustainable Design,ENGR3210,"This course provides a comprehensive overview of sustainable product design. Emphasis is placed on learning and using green design principles, methods, tools and materials. Examples include life cycle assessment, eco-efficiency and eco-effectiveness. A system perspective highlighting material and energy flows over the complete product life cycle is used to structure course material. Students complete substantial reading, investigate existing products and develop their own product ideas.",,ENGR2250,4 ENGR,,,,,,,4-0-8
ENGR,Engineering,User Experience Design,ENGR3220,"A hands-on exploration of the design and development of user interfaces, taking into account the realities of human perception and behavior, the needs of users, and the pragmatics of computational infrastructure and application. Focuses on understanding and applying the lessons of human interaction to the design of usable applications that span connected devices of different scales and interaction methods; will also look at lessons to be learned from less-usable systems. This course will mix studio (open project working time) and seminar (readings and discussion) formats.<br /><br />",,ENGR2250,4 ENGR,,,,,,ENGR 2510 or other software development experience recommended,4-4-4
ENGR,Engineering,Systems,ENGR3225,"This course introduces students to the art and science of interdisciplinary design. Students analyze the process used to develop example products that required expertise in many areas and creativity and trade-off consideration amongst all. Students learn about overarching principles that enable creators of broad interdisciplinary systems to succeed. Students will also work in teams and take on roles as design specialists in a variety of fields. Each team is given the task to design in detail a hypothetical product that can succeed only if interdisciplinary creativity is fostered and trade offs are made by every team member, as well as the group as a whole.",,ENGR2250,4 ENGR,,,,,,,4-0-8
ENGR,Engineering,Biomedical Device Design,ENGR3232,"Medical devices can be anything from a tongue depressor to a pacemaker with a microchip to a room-sized MRI, and everything in between. In this course, we will briefly consider the range of artifacts that are considered (bio)medical devices, how they are used, and who they are used for. We will primarily focus on the unique design constraints of and methods used in developing medical devices. We will touch on topics such as regulation and approval of devices, writing user requirements, writing product requirements, manufacturing practices, bioethics, and the body?s response to implanted materials and surgical interventions. The first half of the semester will be spent developing skills through a case study model. In the second half of the semester, students will complete a major design project, with an external partner, that is focused at a particular stage of product development. <br /><br /><br /><br />This course is open to students of all majors, satisfies a design depth requirement, and can be used as a mechanical engineering elective. While the examples used are from the biomedical industry, the skills developed are relevant to other highly regulated fields as well (e.g. aerospace).<br /><br />",,ENGR2250,4 ENGR,,,,,,Foundational Biology,
ENGR,Engineering,Biomimicry,ENGR3235,"We can learn from nature! From studying a leaf to make a better solar cell to emulating natural processes to develop living buildings, the discipline of Biomimicry views nature as ?model, mentor and measure? (Benyus, 1997). Spiders spin protein silk with the strength of steel yet much lighter all at ambient temperature and pressure. Cuttlefish change color to match their surroundings in milliseconds by contracting their chromatophores and even bioluminesce. In this course we will study wonders like these to appreciate the beauty and sophistication of life by investigating the biological mechanisms and functions of organisms as well as the dynamics of whole ecosystems. By examining biological systems at multiple scales, we can draw insights from understanding how they work. By collecting data, running experiments, creating models, or building prototypes, we can translate these insights into design ideas and practice. We will examine and discuss big ideas and thinking in biology and design and then synthesize and reflect on the intersection of these fields. Students will develop skills and insights through critical analysis of readings and the development of projects that draw on both fields. Biological systems have undergone 3.8 billion years of evolution, resulting in time-tested approaches to living on earth that are efficient and embody sustainability. By exploring the intersection of biology and design, we might learn to do the same.<br /><br /><br /><br />This course is crosslisted with SCI2235. Enrollment in ENGR3235 is as design depth as projects will be<br /><br />focused on engineering design solutions. If advanced science credit is desired, enroll in SCI2235.<br /><br />",,ENGR2250,4 ENGR,,,,,,,4-0-8
ENGR,Engineering,Tell the Story of What You Make,ENGR3240,"How do engineers creatively engage with multiple audiences and stakeholders for their work? Telling stories is critical for anyone who makes things: communicating technical work to non-experts, creating persuasive arguments for technology adoption, or projecting a future with better engineering in it. This course will cover how stories are built and how to craft your own, exploring communication design in multiple forms of media: print, images, film, music, and more. The course includes excursions to experience location-specific visual representation, multiple individual communication experiments, group collection of media, and a culminating project in which students will tell the story of one of their own projects.<br /><br /> <br /><br />We?ll look at how music videos, cereal boxes, advertisements, grocery shopping, infographics and even people?s outfits (just to name a few) can inform how you might build an effective story about one of your own projects.<br /><br /><br /><br />This course is organized into 3 main sections: Introduction, Questions and Project. <br /><br /><br /><br />Introduction: The first 4 lessons and associated assignments will act as a warmup for the class. They will help to develop a common language, encourage students to look more closely at the things around them, introduce critique into the class and set the tone for the course moving forward.<br /><br /> <br /><br />Questions: The majority of the class will look at visual communication as it relates to 7 questions which cover core understandings about design. These questions build a basis for a complete critique of a design and also provide a structure on which we will explore specific elements of design such as image, type, context, organization, etc. The questions are 1)Should we do this?, 2) What is the message?, 3) Who is the audience?, 4) Who else is doing this?, 5) What is the concept?, 6) What are the elements?, and 7) How is it organized?<br /><br /><br /><br />Project: The last quarter of the course will be used by students to create a visual project that communicates the story of something that they have made. Parameters for thew project are decided on by the class but will include initial exploration rounds, multiple rounds of designs, in-class critique and a final deliverable visual artifact.",,ENGR2250,4 ENGR,,,,,,,
ENGR,Engineering,Quantitative Engineering Design,ENGR3242,"The engineering design process can often be completed more quickly and efficiently by applying quantitative analysis at various points. This course will give students the chance to apply their existing skills and knowledge and to learn new tools to perform quantitative analysis in the context of the design process. Techniques for validation and verification of results and communicating those results to support and effectively guide design decisions will be covered. Students will have opportunity to learn and apply appropriate computational tools (e.g., MATLAB/SIMULINK/Simscape, commercial FEA software). Introductory modules will include optimization and system integration requiring model calibration and parameter identification based on measured data. In the later part of the semester, students will define and carry out the full design process, starting and ending with a user, on their own multidisciplinary projects (e.g., electromechanical system or product). Students are welcome to bring in large-scale projects from courses such as ADE, SCOPE, or Making Music for their final project.<br /><br />",,ENGR2250,4 ENGR,,,,,,,
ENGR,Engineering,Integrated Product Design,ENGR3250,"You will work with industrial design students from the Massachusetts College of Art and Design (in Boston) and business students from Babson College to develop new products through a project sponsored by a company. Projects have an Internet of Things (IOT) theme that is informed by contexts chosen by students, such as food, recreation, health, and education. Students learn first hand about the techniques and contributions different disciplines bring to product design and practice cross-functional collaboration common in professional design settings. Multiple guest speakers from local product design companies provide first-hand insight into this practice. This course provides valuable preparation for students interested to work in design firms, such as Continuum, IDEO, Frog, Altitude and Essential to name a few, or develop and launch their own consumer products. Class will be held once a week and rotate among all three campuses. Babson students should enroll in MOB 3578. Wellesley students should cross-register into this course and not MOB 3578 at Babson.",,ENGR2250,4 ENGR,,,,,,,4-0-8
ENGR,Engineering,"Technology, Accessibility, and Design",ENGR3252,"This course equips students with an interdisciplinary set of tools to design, build, and critique technologies that mediate access to physical and digital worlds. We will use disability as a lens to examine the ways in which technology (e.g., assistive, medical, consumer) can both enhance and diminish access to economic, social, and informational resources. Students will examine the history of such technologies and analyze modern trends. Building from this perspective, students will learn about design processes and implementation strategies for maximizing the accessibility of the technologies they build.<br /><br /> <br /><br />During the course, student teams will work with a community partner to design a technology to enhance accessibility (along some dimension) for a user group with a disability. Students will learn and employ user-centered approaches throughout the course.",,ENGR2250,4 ENGR,,,,,,,
ENGR,Engineering,Design for Manufacturing,ENGR3260,"Design for Manufacturing (DFM) will build the specialized design skills needed to professionally redesign a prototype in order to meet target price, reliability and functionality goals, whether the final market requires a single unit per year (i.e. space systems, like satellites) or fifty thousand units a week (i.e. consumer products). This course will be heavily team and project based and will involve the re-design for manufacture of several products, devices and services at the discretion of the instructor. The overall course projects will incorporate a significant mechanical, electronic and software components (but perhaps not all three in any one project) and will be drawn widely from the consumer, industrial, and sustainable market sectors. Course will potentially involve field trips to manufacturing facilities and invited DFM lecturers as appropriate to support the particular projects offered in a given semester.<br /><br />",,ENGR2250,4 ENGR,,,,,,Shop Training,3-6-3
ENGR,Engineering,"Real Products, Real Markets",ENGR3270,"This course is intended to completely re-imagine the product design + entrepreneurship process. Each participant in the course will imagine, design, prototype, test, market and sell a product in the span of the semester. The products and customers will be real. A key measure of success will be the number of products successfully sold and shipped to complete strangers. To achieve these lofty goals, we will have to explore, understand and analyze each element of existing processes with an eye towards exploiting best practices, redesigning them when relevant and, if needed, creating processes anew.<br /><br />",,ENGR2250,4 ENGR,,,,,,,4-0-8
ENGR,Engineering,Affordable Design and Entrepreneurship,ENGR3290,"Students gain experience innovating to address social challenges through a design and entrepreneurship approach that emphasizes context, collaboration, and sustainability. The focus is on alleviating poverty by deploying innovations in communities that generate income and meet daily human needs in areas like energy, water, health, agriculture, transportation, and communication. For example, students might create and test the technology for a micro energy utility, such as a concentrated-solar battery charging station, and the business model that makes it viable.<br /><br /><br /><br />The course is run as a firm where students work in teams with community partners nationally and internationally to co-create and launch new products and ventures. Topics covered include the conditions and causes of poverty, approaches to poverty alleviation, cultural awareness and community engagement, affordable design principles and practices, and social venture models and strategies including financing and scaling. Groups of students travel to partner sites in countries like India, Morocco, Ghana and the U.S. to build relationships, gain contextual awareness, and implement projects.<br /><br /><br /><br />This course is part of the ADE Program that also includes placement assistance to help students find internship and job opportunities in social enterprise. ADE is offered jointly with Babson College where students enroll in EPS 4515. Olin students can elect ADE as an alternative to the SCOPE Program to fulfill the Capstone requirement by registering for ENGR 4290 for two consecutive semesters beginning in the second semester of their junior year or the first semester of their senior year. They cannot change programs once they have completed registration. Alternatively, students can take this course for one semester to fulfill the Design Depth requirement by registering for ENGR 3290. Students who take ENGR 3290 can switch to ENGR 4290 for Capstone credit.<br /><br />",,ENGR2250,4 ENGR,,,,,,,2-2-8
ENGR,Engineering,Special Topics in Design Engineering,ENGR3299,Special Topics in Design Engineering classes (ENGR3299X) typically cover a specific topic in Design Engineering and are intended to enhance and expand the selection of offerings from semester to semester.,,ENGR2250,Variable Credits ENGR,,,,,,,
ENGR,Engineering,Transport Phenomena,ENGR3310,"This course introduces the basic physics and applications of the transport of heat, mass, and momentum. Topics in fluid dynamics include kinematics, conservation laws, dynamic similarity, and laminar flow solutions. Topics in heat and mass transfer include internal and external convection, free convection, boiling and condensation, and the analogy between heat and mass transport.  Applications in aerodynamics, geophysical flows, manufacturing processes, and biological systems will be discussed.<br /><br />",,,4 ENGR,,,,,,"MTH2210 and MTH2220 recommended, ENGR 2350 or Permission of Instructor",4-0-8
ENGR,Engineering,Mechanical Design,ENGR3330,"This course integrates basic mechanical sciences for application to machine design. Topics include stress, strain, deflection, stiffness, and failure of mechanical components including springs, bearings, gears, shafts and axles; steady and time-dependent loading; mechanical fastening and joining; and power transmission. Techniques for quantitative analysis and design optimization are introduced. The material of this course significantly draws and builds upon the concepts presented in ENGR 2320.  Students will carry out a major design project. <br /><br /><br /><br />",,ENGR2320,4 ENGR,,,,,,,4-0-8
ENGR,Engineering,Mechanical and Aerospace Systems,ENGR3345,"A student team will work in the manner of a small engineering research and development company to develop a mechanical or aerospace system to address a current market need. A comprehensive system design will be developed based upon quantitative analysis using commercial simulation software. Prototype systems will be fabricated, evaluated and refined to meet requirements, specifications, and performance objectives. <br /><br />",,,4 ENGR,,,,,,"one of ENGR2320, ENGR2330 or ENGR2340",4-0-8
ENGR,Engineering,Finite Element Analysis,ENGR3350,"Computational simulation based on finite element methods is routinely used in engineering, especially in product design and development. In fact it is likely that the design and fabrication of any human-made, commercially-produced structure or mechanical system that you have come in contact with has been guided by finite element analysis. We'll start with fundamentals principles of FEA focusing on proper usage rather than mathematical theory. You'll learn to apply common analysis processes (e.g., static, dynamic, modal, thermal-mechanical, explicit dynamic). You'll then define your own project(s) where you will apply these tools for quantitative analysis.",,ENGR2320,4 ENGR,,,,,,,4-0-8
ENGR,Engineering,Controls,ENGR3370,"This course explores the techniques for changing the dynamics of a system using feedback control.  The first portion of the course covers methods for analyzing the open-loop dynamics of generic systems in the frequency-domain (transfer functions) and time-domain (state-space equations). Then we will develop feedback techniques for shaping the system response. Students completing this course will have the analytical tools for controller design (both classical and modern) as well as a fundamental understanding of the concepts behind feedback control (stability, performance, controllability, observability, etc.). Students will have ample opportunity to experiment with control design by implementing their own designs in analog and digital hardware. Examples from field robotics, aircraft, and intelligent-structures will be used for both in-class and hands-on demonstrations.<br /><br />",,ENGR2410; OR ENGR2340,4 ENGR,,,,,,The prerequisites are an either / or requirement.  You do not need both to enroll.,4-0-8
ENGR,Engineering,Fundamentals of Robotics,ENGR3390,"This course encompasses the fundamentals of perception, sensors, computer vision, navigation, localization, actuation, manipulation, mobility (e.g., walk, swim, roll, crawl, fly), and intelligence (e.g., control, planning, and mission execution). The course is built around the review and discussion of seminal technical papers in the robotics field with guest lecturers both from various Olin faculty and from external leaders in the robotics community. There is a significant project component to help solidify key concepts.<br /><br />",,,4 ENGR,,,,,,,4-0-8
ENGR,Engineering,Robotics Systems Integration,ENGR3392,"This course combines the components of Fundamentals of Robotics (sensing, cognition and actuation) into the testing and deployment of fully-working interdisciplinary robotic systems. There is a significant lab-based component in which teams of students compete in several main industrial robotics areas to optimize mission performance under real world time constraints.  <br /><br /><br /><br />Previous projects include: the design of a robot arm and vision system that plays checkers against human opponents; the design of closed-loop-controlled unmanned ground vehicles to autonomously circumnavigate the Olin Oval, and the design of an intelligent assembly system for autonomous processing of multi-well bio-assay trays.",,,4 ENGR,,,,,,ENGR3390 or Computational Robotics,4-0-8
ENGR,Engineering,Special Topics in Mechanical Engineering,ENGR3399,Special Topics in Mechanical Engineering classes (ENGR X399) typically cover a specific topic in Mechanical Engineering and are intended to enhance and expand the selection of offerings from semester to semester.,,,Variable Credits ENGR,,,,,,,
ENGR,Engineering,Computer Architecture,ENGR3410,"This course introduces a broad range of computation structures used in computation, from logic gates to specialized (e.g. DSP, cellular automata) as well as general purpose architectures. Design techniques for quantitatively optimizing performance are also taught. Students build a computer from the ground up.",,ENGR1125,4 ENGR,,,,,,,4-4-4
ENGR,Engineering,Digital Signal Processing,ENGR3415,"Signal processing - the modeling, transformation, and manipulation of signals and their content - underpins virtually all facets of our daily lives due to the coupling of computing and communications in consumer, industrial, and public sector applications. Discrete-time signals, obtained through the sampling of continuous-time signals, and their frequency domain equivalents, can undergo transformation via systems, e.g., finite-duration impulse response (FIR) and infinite-impulse response (IIR) filters. Digital filter design and analysis conjoins such topics as difference equations, the z-transform, stability, frequency response, the discrete Fourier transform, FFT algorithms, windowing, practical implementation structures, A/D and D/A conversion techniques. After researching signal processing applications during the first part of the course, students initiate and realize individual DSP projects by end-of-term.",,ENGR2410,4 ENGR,,,,,,,4-0-8
ENGR,Engineering,Introduction to Analog and Digital Communication,ENGR3420,"This course teaches students design techniques for analog and digital communications, including elementary coding and information theory. Topics also include modulation schemes, data compression, error detection and correction, encryption, transmitter and receiver design, and routing protocols. Students build an operative communications link over an unreliable channel.",,,4 ENGR,,,,,,ENGR 2410 or Permission of Instructor,4-4-4
ENGR,Engineering,Mixed Analog-Digital VLSI,ENGR3426,"This course will provide an overview of mixed-signal (analog and digital) integrated circuit design in modern complementary metal-oxide (CMOS) technologies. Students will learn transistor-level design of digital and analog circuits, layout techniques for digital and analog circuit modules, and special physical considerations that arise in a mixed-signal integrated circuit. Students will design a custom mixed-signal integrated circuit that will be sent out for fabrication through MOSIS (assuming that the course funding request is approved by MOSIS) at the end of the semester if they will agree to test the chips when they come back from fabrication.",,ENGR2420,4 ENGR,,,,,,,4-4-4
ENGR,Engineering,Eclectronics,ENGR3430,"Through a series of projects, students will learn all aspects of printed-circuit board (PCB) design at the prototype scale of manufacturing, including electronic circuit/system design, component selection, schematic capture, PCB layout, assembly, and testing. Familiarity with circuits, electronics, and firmware development at the levels of ISIM (ENGR 1125) and PoE (ENGR 2110) are required to take the course. This course satisfies the ECE elective requirement.<br /><br />",,ENGR1125 AND ENGR2110,4 ENGR,,,,,,,3-3-6
ENGR,Engineering,Principles of Wireless Communication,ENGR3440,"Through a series of project based exercises and a final project using a combination of computer simulations and software defined radios, students will learn about and implement modern wireless communications systems. The project based exercises will culminate in an assignment where students design and implement an Orthogonal Frequency Division Multiplexing (OFDM) system, which is the modulation scheme used in many modern wireless communications systems such as WiFi and LTE. The final third of the course will be devoted to a project where students work in small teams to design and implement a wireless communications system of their own choosing.<br /><br /><br /><br />Topics covered in the course include wireless channel modelling and characterization, synchronization, multi?antenna techniques, multiple access and OFDM.",,ENGR3420,4 ENGR,,,,,,,
ENGR,Engineering,Special Topics in Electrical & Computer Engineering,ENGR3499,Special Topics in Electrical and Computer Engineering classes (ENGR X499) typically cover a specific topic in Electrical and Computer Engineering and are intended to enhance and expand the selection of offerings from semester to semester.,,,Variable Credits ENGR,,,,,,,
ENGR,Engineering,Foundations of Computer Science,ENGR3520,"This course uses applications as vehicles for exploring the formal analytic toolkit of the computer scientist as well as aspects of algorithmic computing and intelligent software design. The course combines elements of automata theory, data structures and algorithms, programming languages, artificial intelligence, information management, and internet programming. <br /><br />",,,4 ENGR,,,,,,"ENGR2510 or permission of instructor. MTH2110, Discrete Mathematics should be taken along with FOCS or prior to enrolling.",4-0-8
ENGR,Engineering,Software Systems,ENGR3525,"An introduction to the design and implementation of system-level software, including operating systems, networks, and databases. Topics include processes and threads, memory and storage management, networking and inter-process communication, scheduling and synchronization.",,,4 ENGR,,,,,,,4-4-4
ENGR,Engineering,Data Science,ENGR3531,"This course may be used to satisfy the Probability and Statistics requirement.<br /><br /><br /><br />Data Science lies at the intersection of statistics, machine learning, database design, and data visualization. The goal of this class is to prepare students to work on data science projects that involve collecting data or finding data sources, exploratory data analysis and interactive visualization, statistical analysis and machine learning, predictive analytics, model selection, and validation. Class work includes a substantial project on a real world application of the students' choice; projects might involve work with a social change organization like those on DataKind, or participating in a competition like those on Kaggle.<br /><br />",,,2 ENGR,,,,,MTH2131,ENGR2510: Software Design or permission of instructor,
ENGR,Engineering,Computational Bayesian Statistics,ENGR3533,"Bayesian statistics provide a powerful toolkit for modeling random processes and making predictions. The ideas behind these tools are simple, but expressing them mathematically can make them hard to learn and apply. This class takes a computational approach, which allows students with programming experience to use that knowledge as leverage. Students will work through a series of exercises in the book Think Bayes and help develop new material.<br /><br />",,,2 ENGR,,,,,MTH2133,,
ENGR,Engineering,Complexity Science,ENGR3540,"The study of complex systems represents a new approach to science that investigates how relationships between parts give rise to the collective behaviors of a system and how the system interacts and forms relationships with its environment. (Wikipedia)<br /><br /><br /><br />This class is about complexity science, data structures and algorithms in Python, and the philosophy of science:<br /><br />1.Complexity science is an interdisciplinary field<br /><br />?at the intersection of mathematics, computer science and other disciplines such as physics and economics<br /><br />?that focuses on models of systems with many components, local interactions, and complex behavior. These models are often characterized by structure, rules and transitions rather <br /><br />than by equations.<br /><br />2.Data structures and algorithms in Python: This class picks up where Software Design leaves off, introducing <br /><br />additional data structures, algorithms, language features, design patterns, and software engineering tools that are appropriate for modeling, simulating and analyzing complex systems.<br /><br />3.Philosophy of science: The models and results in this class raise a number of questions relevant to the philosophy of science<br /><br />?including the nature of scientific laws, theory choice, realism and instrumentalism, holism and reductionism<br /><br />?which we will discuss as they arise, along with related readings.<br /><br /><br /><br />Topics may include the structure and  dynamics of complex networks; cellular automata, self-organized criticality, and generative systems; fitness landscape models of biological and technological evolution; and agent-based models of social and economic behavior.",,,4 ENGR,,,,,,ENGR2510 or permission of instructor,4-0-8
ENGR,Engineering,Computer Networks,ENGR3570,"Computer Networks is a course that traces the history of the Internet through the words of the visionaries, inventors and entrepreneurs who developed it.  The course spans almost two hundred years from the creation of international telegraphy to the current network.  Many pioneers from the digital computer era are recipients of the ACM Turing Award; for this course we have chosen Turing Award recipients whose accomplishments line up with the layers of standard OSI network computing model.<br /><br /><br /><br />Labs: The goal of the labs is for students to develop an understanding of the internet by implementing it layer by layer using Python 3 on Raspberry pi computers.  For example, Layer 1, the OSI Physical layer, is initially implemented as Morse code sent between Raspberry pi network nodes by programming GPIO pins.  Each lab corresponds to the layer of the Internet stack associated with the network pioneer currently being studied.  Each lab provides the support modules needed to code the stack layer; a common framework for gluing the stack layers together is also provided.",,,4 ENGR,,,,,,Experience with Python or Permission of instructor,4-4-4
